;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context;Class
424;20;5- Rilevatore di fumo;comfort/health;condizione;home;finestre;chiusa;uguale;TRUE;;;doors and windows
425;20;5- Rilevatore di fumo;comfort/health;azione;home;finestre;aperta;uguale;TRUE;OR;;doors and windows
426;20;5- Rilevatore di fumo;comfort/health;azione;home;purificatore aria;accensione;uguale;ON;;;hygiene
427;20;6- Spegnimento TV;comfort/energy saving;evento;outside home;utente;uscire;uguale;TRUE;And;;presence
428;20;6- Spegnimento TV;comfort/energy saving;condizione;home;tv;accesa;uguale;TRUE;And;;device
429;20;6- Spegnimento TV;comfort/energy saving;condizione;home;rilevatore di movimento;rilevazione movimento;uguale;FALSE;;;presence
430;20;6- Spegnimento TV;comfort/energy saving;azione;home;tv;spegnimento ;uguale;ON;;;device
431;20;6- Spegnimento TV;comfort/energy saving;azione;no;smart home;invio notifica;uguale;ON;;;notification
432;21;Riempimento cesta;comfort;evento;bathroom;cesta delle robe sporche;rileva riempimento;uguale;pieno;/;;hygiene
433;21;Riempimento cesta;comfort;azione;no;telefono;notifica;uguale;"""E' ora di fare la lavatrice""";/;;notification
434;21;Videosorveglianza a distanza;security;evento;home;sensori di movimento;rilevamento;NOT;presenza persone;/;;presence
435;21;Videosorveglianza a distanza;security;azione;home;videosorveglianza;ON/OFF;uguale;ON;AND;;alarm
436;21;Videosorveglianza a distanza;security;azione;home;allarme;ON/OFF notifica a distanza ;uguale;ON;;;alarm
437;21;Smart tv eco ;energy saving;evento ;living room;smart tv;ON/OFF;uguale;ON;AND;;device
438;21;Smart tv eco ;energy saving;condizione;living room;rilevamento sguardo;rileva;NOT +;15 min;/;;user detection
439;21;Smart tv eco ;energy saving;azione;living room;smart tv;ON/OFF;uguale;OFF;;;device
440;21;Purificazione aria;wellbeing/health;condizione;home;finestre;chiuse;maggiore di;24h;AND;;doors and windows
441;21;Purificazione aria;wellbeing/health;condizione;home;rilevamento ;presenza CO2;uguale;alta;/;;air and humidity
442;21;Purificazione aria;wellbeing/health;azione;home;finestre;apri/chiudi;uguale;apri;AND;;doors and windows
443;21;Purificazione aria;wellbeing/health;azione;home;purificatore d'aria;ON/OFF;uguale;ON;;;hygiene
444;21;Cucina smart;energy saving/safety;condizione;kitchen;fornello;ON/OFF;uguale;ON;AND;;feeding
445;21;Cucina smart;energy saving/safety;evento;kitchen;(acqua in) pentola;ebollizione;uguale;TRUE;/;;feeding
446;21;Cucina smart;energy saving/safety;azione;kitchen;fornello;fiamma;uguale;bassa;;;feeding
447;21;Cucina smart;energy saving/safety;azione;current room;telefono; ricevi notifica;uguale;"""è ora di cuocere la pasta""";;;notification
448;21;dispenser automatico;comfort;evento;bathroom;sensore dispenser sapone;rilevamento mani ;uguale;TRUE;AND;;hygiene
449;21;dispenser automatico;comfort;condizione;bathroom;dispenser automatico; presenza sapone;uguale;NOT;/;;hygiene
450;21;dispenser automatico;comfort;azione;bathroom;lucina dispenser;accensione;uguale;rossa;OR;;notification
451;21;dispenser automatico;comfort;condizione;bathroom;dispenser automatico;presenza sapone;uguale;TRUE;;;hygiene
452;21;dispenser automatico;comfort;azione;bathroom;lucina dispenser;accensione;uguale;verde;AND;;notification
453;21;dispenser automatico;comfort;azione;bathroom;dispenser automatico;erogazione sapone;uguale;ON;;;hygiene
454;22;POOL MANAGER;comfort;Condizione;no;Meteo ;Pioggia;uguale;TRUE;;;weather
455;22;POOL MANAGER;comfort;Azione;garden;Piscina;apri / chiudi;uguale;CHIUSO ;;;systems
456;22;SECURITY CHECK;security;Condizione;home ;Utente;Rilevamento utente ;uguale;FALSE;And;;presence
457;22;SECURITY CHECK;security;Evento;home ;Finestre;apri / chiudi;uguale;CHIUSO;;;doors and windows
458;22;SECURITY CHECK;security;Evento;home ;Sistema allarme ;attiva / disattiva;uguale;ATTIVO ;;;alarm
459;22;HOME HEATING;comfort/wellbeing;Condizione;home ;Utente;Rilevamento utente;Uguale;TRUE;;;presence
460;22;HOME HEATING;comfort/wellbeing;Evento;home ;Temperatura;Rilevamento ;Minore;12°;;;temperature
461;22;HOME HEATING;comfort/wellbeing;Azione;home ;Riscaldamento;Attivo / disattiva;Uguale;ATTIVO;;;temperature
462;22;TV SHOW ROUTINE ;comfort ;Condizione ;no;Data e ora;Giorno specifico;Uguale  ;TRUE ;And;;scheduling
463;22;TV SHOW ROUTINE ;comfort ;Condizione ;no;Data e ora ;Orario;Uguale ;21:00;And;;scheduling
464;22;TV SHOW ROUTINE ;comfort ;Azione ;living room;Televisione ;Accendi /spegni;Uguale  ;TRUE ;;;device
465;22;TV SHOW ROUTINE ;comfort ;Azione ;living room;Televisione ;Canale specifico ;Uguale ;TRUE ;;;device
466;22;FOOD TIMER;safety;Evento;bathroom;Utente ;Posizione utente;Uguale ;FALSE ;And;;presence
467;22;FOOD TIMER;safety;Condizione;kitchen;Fornello ;Accendi /spegni;Uguale ;TRUE ;And;;feeding
468;22;FOOD TIMER;safety;Azione;home ;Alexa;Invia segnale sonoro;Uguale ;TRUE ;;;notification
469;22;FOOD TIMER;safety;Azione;kitchen;Fornello ;Accendi/ spegni;Uguale ;FALSE ;;;feeding
470;22;THINGS TO DO ;comfort ;Evento;bedroom;Data e ora ;Orario ;Uguale ;07:00;And;;scheduling
471;22;THINGS TO DO ;comfort ;Condizione;no;Data e ora ;Giorno ;Tra;Lunedì - Venerdì;And;;scheduling
472;22;THINGS TO DO ;comfort ;Condizione;no;Utente ;Posizione utente;Uguale;TRUE;;;user detection
473;22;THINGS TO DO ;comfort ;Azione;no;Sveglia;Attiva /disattiva;Uguale ;TRUE;;;scheduling
474;22;THINGS TO DO ;comfort ;Azione;home ;Alexa;Invia messaggio;Uguale ;TRUE ;;;notification
475;23;Tapparelle in posizione di sicurezza;safety;evento;no;meteo;pioggia;uguale;TRUE;;quando piove;weather
476;23;Tapparelle in posizione di sicurezza;safety;azione;home;tapparella;imposta posizione di sicurezza;uguale;TRUE;;quando piove;doors and windows
477;23;Sicurezza fuori casa;security/safety;evento;no;posizione;posizione utente;uguale;non in casa;;;presence
478;23;Sicurezza fuori casa;security/safety;azione;home;sistemi di antitrusione;attivazione;uguale;TRUE;And ;;alarm
479;23;Sicurezza fuori casa;security/safety;azione;entrance;serratura;apri/chiudi;uguale;Chiudi;And ;;doors and windows
480;23;Sicurezza fuori casa;security/safety;azione;home;Acqua e gas;apri/chiudi;uguale;Chiudi;;;systems
481;23;Illuminazione esterna;comfort;evento;no;posizione;posizione utente;uguale;giardino;And;;presence
482;23;Illuminazione esterna;comfort;condizione;no;data e ora;orario;tra;19:00 - 05:00;;;scheduling
483;23;Illuminazione esterna;comfort;azione;garden;illuminazione esterna;accensione;uguale;TRUE;;;lights
484;23;Modalità film;comfort/energy saving;condizione;no;utente;rilevata attività;uguale;Visione film in televisione;And;;device
485;23;Modalità film;comfort/energy saving;condizione;no;Data e ora;orario;tra;21:00 e 04:00;;;scheduling
486;23;Modalità film;comfort/energy saving;azione;dedicated room;Luce;accendi/spegni;uguale;spegni;And;;lights
487;23;Modalità film;comfort/energy saving;azione;dedicated room;Lampada;accendi/spegni;uguale;accendi;And;;lights
488;23;Modalità film;comfort/energy saving;azione;dedicated room;impianto audio;imposta modalità;uguale;"""Home Theater""";;;device
489;23;Borraccia wireless;wellbeing;evento;no;Data e ora;orario;uguale;0,75;And;sempre;scheduling
490;23;Borraccia wireless;wellbeing;condizione;no;Borraccia;rilevata quantità di acqua;maggiore;metà;;sempre;smart object
491;23;Borraccia wireless;wellbeing;azione;no;telefono utente;promemoria;/;"""Ricordati di bere""";And;sempre;notification
492;23;Borraccia wireless;wellbeing;azione;no;spia rossa lampeggiante;accensione;uguale;TRUE;And;sempre;notification
493;23;Borraccia wireless;wellbeing;azione;no;Segnale acustico;accensione;uguale;TRUE;;sempre;notification
